event,type,red1,red2,red3,redFinal,redFoul,redAuto,redTeleop,blue1,blue2,blue3,blueFinal,blueFoul,blueAuto,blueTeleop
MICMP,E,2337,67,2054,109,3,32,24,217,3539,469,145,6,69,60
MICMP,E,2054,2337,67,118,9,41,48,217,469,3539,190,3,123,54
MDBA,E,2638,1708,329,130,0,78,42,375,1389,365,109,0,55,54
MICMP,E,67,2054,2337,223,3,134,36,469,217,3539,168,3,105,60
MDBA,E,329,1708,2638,139,23,58,48,375,1389,365,121,6,53,42
MRCMP,E,2729,1640,2590,140,0,72,48,1403,11,1370,134,0,74,30
MDBA,E,1699,2534,250,77,0,51,6,365,1389,375,106,0,52,54
MICMP,E,2054,2337,67,98,0,24,54,3572,1918,2145,87,3,0,24
MRCMP,E,1640,2590,2729,197,0,129,48,11,1403,222,146,0,78,48
MICMP,E,469,3539,217,196,6,108,72,68,1718,33,173,3,90,60
MDBA,E,2534,250,1699,73,0,39,24,375,365,1389,78,0,30,48
MICMP,E,67,2337,2054,192,3,93,66,3572,2145,1918,154,9,37,48
MDBA,E,128,1719,686,93,0,53,30,329,1708,2638,148,26,60,42
MRCMP,E,4460,225,4285,117,0,69,28,11,1403,222,127,9,66,42
MICMP,E,3539,469,217,219,0,119,90,1718,33,68,168,0,102,36
MDBA,E,1699,2534,250,82,3,23,36,365,375,1389,60,0,20,30
MRCMP,E,1640,2590,2729,140,6,72,42,1279,1089,1676,134,3,69,42
MICMP,E,2337,2054,67,125,9,54,42,3572,1918,2145,146,6,62,48
MRCMP,E,4460,4285,225,96,0,42,34,1403,222,11,162,6,78,48
MDBA,E,128,1719,686,96,0,74,12,1708,329,2638,155,0,87,48
MRCMP,E,2729,1640,2590,191,3,114,54,1279,1676,1089,171,0,105,36
MICMP,E,1718,33,68,158,3,93,42,862,3414,3641,115,6,59,30
MDBA,E,375,365,1389,94,0,42,42,888,1885,449,71,0,11,30
MICMP,E,469,217,3539,184,0,114,60,2137,27,1189,92,0,56,36
MDBA,E,250,2534,1699,96,0,54,42,2641,3455,1559,86,0,20,36
MICMP,E,2145,3572,1918,193,0,79,44,245,3656,2000,172,0,120,42
MDBA,E,2377,4050,2537,73,3,20,30,1708,2638,329,144,3,81,30
MRCMP,E,1391,316,303,107,0,77,10,1403,222,11,136,20,54,42
MICMP,E,2337,2054,67,226,23,117,36,2767,2612,2474,175,0,83,72
MDBA,E,1719,686,128,167,60,57,30,87,2866,2199,79,0,47,12
MRCMP,E,193,1218,1228,138,6,66,36,4460,225,4285,144,9,81,34
MICMP,E,68,33,1718,190,0,106,54,3641,3414,862,180,0,114,36
MDBA,E,365,1389,375,127,0,77,50,1885,888,449,43,3,6,24
MRCMP,E,1089,1676,1279,178,6,106,36,2607,1923,103,124,0,42,42
MICMP,E,3539,469,217,174,0,122,42,27,1189,2137,134,0,72,42
MRCMP,E,1640,2729,2590,97,0,39,48,224,293,56,110,0,36,54
MDBA,E,1699,250,2534,107,0,57,30,2641,1559,3455,102,0,14,48
MICMP,E,3572,2145,1918,193,0,75,48,245,3656,2000,192,3,111,48
MDBA,E,4050,2377,2537,95,20,23,42,1708,2638,329,131,0,69,42
MRCMP,E,316,303,1391,112,6,66,30,11,1403,222,149,6,69,54
MRCMP,E,193,1218,1228,133,6,65,42,225,4285,4460,135,12,69,34
MDBA,E,1719,128,686,79,3,14,42,87,2866,2199,77,3,30,24
MICMP,E,2337,2054,67,170,6,84,30,2474,2612,2767,147,6,71,60
MRCMP,E,1089,1676,1279,180,0,114,36,103,2607,1923,50,6,0,24
MRCMP,E,2590,2729,1640,126,0,58,48,224,56,293,99,9,38,42
MDBA,Q,2819,3373,45,9,0,3,6,2377,4122,238,87,6,41,30
MDBA,Q,329,250,2528,90,9,33,18,4050,122,2849,71,0,23,28
MICMP,Q,326,1918,910,195,0,95,60,2851,1023,862,136,0,50,36
MDBA,Q,2640,3283,2912,46,0,8,18,365,2421,3714,81,20,29,12
MICMP,Q,314,280,27,123,0,81,42,4325,3641,2959,156,0,96,30
MRCMP,Q,75,2590,56,106,0,20,36,433,1626,303,148,6,88,24
